Entity,Code,Date,Contact tracing (OxBSG) (Contract tracing)
Afghanistan,AFG,"Feb 24, 2020",1
Afghanistan,AFG,"Feb 25, 2020",1
Afghanistan,AFG,"Feb 26, 2020",1
Afghanistan,AFG,"Feb 27, 2020",1
Afghanistan,AFG,"Feb 28, 2020",1
Afghanistan,AFG,"Feb 29, 2020",1
Afghanistan,AFG,"Mar 1, 2020",1
Afghanistan,AFG,"Mar 2, 2020",1
Afghanistan,AFG,"Mar 3, 2020",1
Afghanistan,AFG,"Mar 4, 2020",1
Afghanistan,AFG,"Mar 5, 2020",1
Afghanistan,AFG,"Mar 6, 2020",1
Afghanistan,AFG,"Mar 7, 2020",1
Afghanistan,AFG,"Mar 8, 2020",1
Afghanistan,AFG,"Mar 9, 2020",1
Afghanistan,AFG,"Mar 10, 2020",1
Afghanistan,AFG,"Mar 11, 2020",1
Afghanistan,AFG,"Mar 12, 2020",1
Afghanistan,AFG,"Mar 13, 2020",1
Afghanistan,AFG,"Mar 14, 2020",1
Afghanistan,AFG,"Mar 15, 2020",1
Afghanistan,AFG,"Mar 16, 2020",1
Afghanistan,AFG,"Mar 17, 2020",1
Afghanistan,AFG,"Mar 18, 2020",1
Afghanistan,AFG,"Mar 19, 2020",1
Afghanistan,AFG,"Mar 20, 2020",1
Afghanistan,AFG,"Mar 21, 2020",1
Afghanistan,AFG,"Mar 22, 2020",1
Afghanistan,AFG,"Mar 23, 2020",1
Afghanistan,AFG,"Mar 24, 2020",1
Afghanistan,AFG,"Mar 25, 2020",1
Afghanistan,AFG,"Mar 26, 2020",1
Afghanistan,AFG,"Mar 27, 2020",1
Afghanistan,AFG,"Mar 28, 2020",1
Afghanistan,AFG,"Mar 29, 2020",1
Afghanistan,AFG,"Mar 30, 2020",1
Afghanistan,AFG,"Mar 31, 2020",1
Afghanistan,AFG,"Apr 1, 2020",1
Afghanistan,AFG,"Apr 2, 2020",1
Afghanistan,AFG,"Apr 3, 2020",1
Afghanistan,AFG,"Apr 4, 2020",1
Afghanistan,AFG,"Apr 5, 2020",1
Afghanistan,AFG,"Apr 6, 2020",1
Afghanistan,AFG,"Apr 7, 2020",1
Afghanistan,AFG,"Apr 8, 2020",1
Afghanistan,AFG,"Apr 9, 2020",1
Afghanistan,AFG,"Apr 10, 2020",1
Afghanistan,AFG,"Apr 11, 2020",1
Afghanistan,AFG,"Apr 12, 2020",1
Afghanistan,AFG,"Apr 13, 2020",1
Afghanistan,AFG,"Apr 14, 2020",1
Afghanistan,AFG,"Apr 15, 2020",1
Afghanistan,AFG,"Apr 16, 2020",1
Afghanistan,AFG,"Apr 17, 2020",1
Afghanistan,AFG,"Apr 18, 2020",1
Afghanistan,AFG,"Apr 19, 2020",1
Afghanistan,AFG,"Apr 20, 2020",1
Afghanistan,AFG,"Apr 21, 2020",1
Afghanistan,AFG,"Apr 22, 2020",1
Afghanistan,AFG,"Apr 23, 2020",1
Afghanistan,AFG,"Apr 24, 2020",1
Afghanistan,AFG,"Apr 25, 2020",1
Afghanistan,AFG,"Apr 26, 2020",1
Afghanistan,AFG,"Apr 27, 2020",1
Afghanistan,AFG,"Apr 28, 2020",1
Afghanistan,AFG,"Apr 29, 2020",1
Afghanistan,AFG,"Apr 30, 2020",1
Albania,ALB,"Mar 8, 2020",1
Albania,ALB,"Mar 9, 2020",1
Albania,ALB,"Mar 10, 2020",1
Albania,ALB,"Mar 11, 2020",1
Albania,ALB,"Mar 12, 2020",1
Albania,ALB,"Mar 13, 2020",1
Albania,ALB,"Mar 14, 2020",1
Albania,ALB,"Mar 15, 2020",1
Albania,ALB,"Mar 16, 2020",1
Albania,ALB,"Mar 17, 2020",1
Albania,ALB,"Mar 18, 2020",1
Albania,ALB,"Mar 19, 2020",1
Albania,ALB,"Mar 20, 2020",1
Albania,ALB,"Mar 21, 2020",1
Albania,ALB,"Mar 22, 2020",1
Albania,ALB,"Mar 23, 2020",1
Albania,ALB,"Mar 24, 2020",1
Albania,ALB,"Mar 25, 2020",1
Albania,ALB,"Mar 26, 2020",1
Albania,ALB,"Mar 27, 2020",1
Albania,ALB,"Mar 28, 2020",1
Albania,ALB,"Mar 29, 2020",1
Albania,ALB,"Mar 30, 2020",1
Albania,ALB,"Mar 31, 2020",1
Albania,ALB,"Apr 1, 2020",1
Albania,ALB,"Apr 2, 2020",1
Albania,ALB,"Apr 3, 2020",1
Albania,ALB,"Apr 4, 2020",1
Albania,ALB,"Apr 5, 2020",1
Albania,ALB,"Apr 6, 2020",1
Albania,ALB,"Apr 7, 2020",1
Albania,ALB,"Apr 8, 2020",1
Albania,ALB,"Apr 9, 2020",1
Albania,ALB,"Apr 10, 2020",1
Albania,ALB,"Apr 11, 2020",1
Albania,ALB,"Apr 12, 2020",1
Albania,ALB,"Apr 13, 2020",1
Albania,ALB,"Apr 14, 2020",1
Albania,ALB,"Apr 15, 2020",1
Albania,ALB,"Apr 16, 2020",1
Albania,ALB,"Apr 17, 2020",1
Albania,ALB,"Apr 18, 2020",1
Albania,ALB,"Apr 19, 2020",1
Albania,ALB,"Apr 20, 2020",1
Algeria,DZA,"Apr 24, 2020",2
Algeria,DZA,"Apr 25, 2020",2
Andorra,AND,"Mar 27, 2020",1
Andorra,AND,"Mar 28, 2020",1
Andorra,AND,"Mar 29, 2020",1
Andorra,AND,"Mar 30, 2020",1
Andorra,AND,"Mar 31, 2020",1
Andorra,AND,"Apr 1, 2020",1
Andorra,AND,"Apr 2, 2020",1
Andorra,AND,"Apr 3, 2020",1
Andorra,AND,"Apr 4, 2020",1
Andorra,AND,"Apr 5, 2020",1
Andorra,AND,"Apr 6, 2020",1
Andorra,AND,"Apr 7, 2020",1
Andorra,AND,"Apr 8, 2020",1
Andorra,AND,"Apr 9, 2020",1
Andorra,AND,"Apr 10, 2020",1
Andorra,AND,"Apr 11, 2020",1
Andorra,AND,"Apr 12, 2020",1
Andorra,AND,"Apr 13, 2020",1
Andorra,AND,"Apr 14, 2020",1
Andorra,AND,"Apr 15, 2020",1
Andorra,AND,"Apr 16, 2020",1
Andorra,AND,"Apr 17, 2020",1
Andorra,AND,"Apr 18, 2020",1
Andorra,AND,"Apr 19, 2020",1
Andorra,AND,"Apr 20, 2020",1
Andorra,AND,"Apr 21, 2020",1
Andorra,AND,"Apr 22, 2020",1
Andorra,AND,"Apr 23, 2020",1
Andorra,AND,"Apr 24, 2020",1
Andorra,AND,"Apr 25, 2020",1
Andorra,AND,"Apr 26, 2020",1
Andorra,AND,"Apr 27, 2020",1
Andorra,AND,"Apr 28, 2020",1
Andorra,AND,"Apr 29, 2020",1
Andorra,AND,"Apr 30, 2020",1
Andorra,AND,"May 1, 2020",1
Andorra,AND,"May 2, 2020",1
Andorra,AND,"May 3, 2020",1
Andorra,AND,"May 4, 2020",1
Andorra,AND,"May 5, 2020",1
Andorra,AND,"May 6, 2020",1
Argentina,ARG,"Mar 4, 2020",1
Argentina,ARG,"Mar 5, 2020",1
Argentina,ARG,"Mar 6, 2020",1
Argentina,ARG,"Mar 7, 2020",1
Argentina,ARG,"Mar 8, 2020",1
Argentina,ARG,"Mar 9, 2020",1
Argentina,ARG,"Mar 10, 2020",1
Argentina,ARG,"Mar 11, 2020",1
Argentina,ARG,"Mar 12, 2020",1
Argentina,ARG,"Mar 13, 2020",1
Argentina,ARG,"Mar 14, 2020",1
Argentina,ARG,"Mar 15, 2020",1
Argentina,ARG,"Mar 16, 2020",1
Argentina,ARG,"Mar 17, 2020",1
Argentina,ARG,"Mar 18, 2020",1
Argentina,ARG,"Mar 19, 2020",1
Argentina,ARG,"Mar 20, 2020",1
Argentina,ARG,"Mar 21, 2020",1
Argentina,ARG,"Mar 22, 2020",1
Argentina,ARG,"Mar 23, 2020",1
Argentina,ARG,"Mar 24, 2020",1
Argentina,ARG,"Mar 25, 2020",1
Argentina,ARG,"Mar 26, 2020",1
Argentina,ARG,"Mar 27, 2020",1
Argentina,ARG,"Mar 28, 2020",1
Argentina,ARG,"Mar 29, 2020",1
Argentina,ARG,"Mar 30, 2020",1
Argentina,ARG,"Mar 31, 2020",1
Argentina,ARG,"Apr 1, 2020",1
Argentina,ARG,"Apr 2, 2020",1
Argentina,ARG,"Apr 3, 2020",1
Argentina,ARG,"Apr 4, 2020",1
Argentina,ARG,"Apr 5, 2020",1
Argentina,ARG,"Apr 6, 2020",1
Argentina,ARG,"Apr 7, 2020",1
Argentina,ARG,"Apr 8, 2020",1
Argentina,ARG,"Apr 9, 2020",1
Argentina,ARG,"Apr 10, 2020",1
Argentina,ARG,"Apr 11, 2020",1
Argentina,ARG,"Apr 12, 2020",1
Argentina,ARG,"Apr 13, 2020",1
Argentina,ARG,"Apr 14, 2020",1
Argentina,ARG,"Apr 15, 2020",1
Argentina,ARG,"Apr 16, 2020",1
Australia,AUS,"Jan 25, 2020",2
Australia,AUS,"Jan 26, 2020",2
Australia,AUS,"Jan 27, 2020",2
Australia,AUS,"Jan 28, 2020",2
Australia,AUS,"Jan 29, 2020",2
Australia,AUS,"Jan 30, 2020",2
Australia,AUS,"Jan 31, 2020",2
Australia,AUS,"Feb 1, 2020",2
Australia,AUS,"Feb 2, 2020",2
Australia,AUS,"Feb 3, 2020",2
Australia,AUS,"Feb 4, 2020",2
Australia,AUS,"Feb 5, 2020",2
